Artist,Album
My Bloody Valentine,Loveless
Ride,Nowhere
Slowdive,Souvlaki
Lush,Ciao! 1989-1996
My Bloody Valentine,Isn't Anything
Pale Saints,The Comforts of Madness
The Swirlies,Blonder Tongue Audio Baton
The Boo Radleys,Giant Steps
Spiritualized,Lazer Guided Melodies
Lush,Split
Kitchens of Distinction,Love Is Hell
Ride,OX4: The Best of Ride
Lilys,Eccsame the Photon Band
Chapterhouse,Whirlpool
Lush,Gala
Catherine Wheel,Ferment
The Swirlies,What to Do About Them
Loop,Heaven's End
The Telescopes,The Telescopes
The Verve,The Verve EP
Catherine Wheel,Chrome
The Boo Radleys,Learning to Walk
Moose,...XYZ
Curve,Doppelgänger
Nightblooms,Nightblooms
My Bloody Valentine,Tremolo
Ride,Smile
My Bloody Valentine,You Made Me Realise…
The Verve,A Storm in Heaven
Swervedriver,Raise
Moose,Sonny & Sam [EP]
Pale Saints,In Ribbons
My Bloody Valentine,Ecstasy and Wine
Curve,Pubic Fruit
Th' Faith Healers,Imaginary Friend
My Bloody Valentine,Feed Me with Your Kiss [CD…
Lilys,In the Presence of Nothing
My Bloody Valentine,Glider
Slowdive,Just for a Day
Th' Faith Healers,Lido
The Boo Radleys,Everything's Alright…
The Swirlies,Brokedick Car
The Telescopes,Taste
The Verve,Urban Hymns
Kitchens of Distinction,Capsule: The Best of KOD…
The Verve,This Is Music: The Singles…
Medicine,Shot Forth Self Living
The Boo Radleys,Wake Up!
Rollerskate Skinny,Shoulder Voices
Electric Company,A Pert Cyclic Omen
Kitchens of Distinction,The Death of Cool
Swervedriver,Juggernaut Rides '89-'98
Loop,A Gilded Eternity
Secret Shine,Untouched
Rollerskate Skinny,Horsedrawn Wishes
No Joy,Wait to Pleasure
Sianspheric,RGB
Swervedriver,Mezcal Head
Moose,Jack [EP]
The Boo Radleys,Find the Way Out
Manitoba / Caribou,Up in Flames
Caribou,Andorra
Swervedriver,Ejector Seat Reservation
Ride,Today Forever
Ringo Deathstarr,Mauve
Kitchens of Distinction,Now It's Time to Say…
Pia Fraus,In Solarium
The Swirlies,Strictly East Coast Sneaky…
The Ancients,Night Bus
Loop,The World in Your Eyes
Young Prisms,In Between
Readymade,On Point and Red
Curve,Cuckoo
Springhouse,Postcards from the Arctic
The Ecstasy of Saint…,Free-D (Original…
The Zephyrs,When the Sky Comes Down It…
Ringo Deathstarr,Colour Trip
Echo Lake,Wild Peace
Lilys,Better Can't Make Your…
Disappears,Pre Language
Young Prisms,Friends for Now
A Place to Bury Strangers,Exploding Head
The Veldt,Afrodisiac
Popsicle,Lacquer
Spotlight Kid,Ten Thousand Hours
My Bloody Valentine,m b v
Should,Like a Fire Without Sound
Ride,Leave Them All Behind
Medicine,To the Happy Few
Brace/Choir,Turning on Your Double
Autodrone,Strike a Match
Swervedriver,Last Train to Satansville…
Should,Feed Like Fishes
A Place to Bury Strangers,A Place to Bury Strangers
Swervedriver,Son of Mustang Ford
Tamaryn,Cranekiss
